train,valid
0.0031974799514483338,0.0020023792181164024
0.0026553662359184876,0.001497688197530806
0.00234928343797656,0.001094581402372569
0.0021314933730926093,0.0007613006727769971
0.0019673900905633553,0.0007146037085913122
0.0018406202737688304,0.0005238677505403757
0.0017343628225467219,0.0003929572138004005
0.001649593766302632,0.0003330388437025249
0.0015773529353471229,0.0002974961460568011
0.0015147207353186731,0.0002807158934883773
0.0014598089829682352,0.00022956603730563076
0.0014128350327684046,0.00017284215660765768
0.0013682262171595431,0.00014524071593768895
0.0013297601445271564,0.00012118554633343593
0.00129505239290218,0.00010736254206858576
0.001263081870851116,7.6312736782711e-05
0.0012322330104258543,6.25808555923868e-05
0.001205281570208625,6.664439552696422e-05
0.0011792753627092336,5.901148490374908e-05
0.0011528502203547917,5.392392826615833e-05
